%% Test routage tables #1

%% Tables de routages des différents routeurs.

R 192.168.1.254 1 
L 192.168.2.254 255.255.255.255 i0 100  
L 192.168.3.254 255.255.255.255 i0 100  
L 192.168.4.254 255.255.255.255 i0 100  
L 192.168.5.254 255.255.255.255 i0 100  
L 192.168.6.254 255.255.255.255 i0 100  
L 192.168.7.254 255.255.255.255 i0 100  

R 192.168.2.254 1 
L 192.168.1.254 255.255.255.255 i0 100  
L 192.168.3.254 255.255.255.255 i0 100  
L 192.168.4.254 255.255.255.255 i0 100  
L 192.168.5.254 255.255.255.255 i0 100  
L 192.168.6.254 255.255.255.255 i0 100  
L 192.168.7.254 255.255.255.255 i0 100  

R 192.168.1.254 1 
L 192.168.2.254 255.255.255.255 i0 100  
L 192.168.3.254 255.255.255.255 i0 100  
L 192.168.4.254 255.255.255.255 i0 100  
L 192.168.5.254 255.255.255.255 i0 100  
L 192.168.6.254 255.255.255.255 i0 100  
L 192.168.7.254 255.255.255.255 i0 100  
% End of graph
